id,name,given,surname,birth_year,event_year,notes,source,finding_aid_url
,Michel BOURG,Michel,Bourg,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,leVieux Rener BOURG,leVieux Rener,Bourg,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Commo BRASSEAUX,Commo,Brasseaux,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Joseph BRASSIN,Joseph,Brassin,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Charles BRAUX,Charles,Braux,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Cherussin BRAUX,Cherussin,Braux,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Pierre BRAUX,Pierre,Braux,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Vicar Francis BRAUX,Vicar Francis,Braux,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Aman BRUNE,Aman,Brune,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Joseph BRUNE,Joseph,Brune,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Paul BRUNE,Paul,Brune,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Pierre BRUNE,Pierre,Brune,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Paul CAPIERE,Paul,Capiere,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Pierrs CARETTER,Pierrs,Caretter,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Joseph CELESTAIN,Joseph,Celestain,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Antoine CELESTIN,Antoine,Celestin,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Charle CELESTINE,Charle,Celestine,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Norez CELESTINE,Norez,Celestine,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Paul CELESTINE,Paul,Celestine,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Pierre CELESTINE,Pierre,Celestine,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jacques CELEVE,Jacques,Celeve,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Finmi CHELLE,Finmi,Chelle,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jean Robs CHOC,Jean Robs,Choc,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jacques CLELAND,Jacques,Cleland,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Pierre CLEMENSON,Pierre,Clemenson,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,George CLOATRE,George,Cloatre,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Lewis Pierre CLOATRE,Lewis Pierre,Cloatre,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Alexis COMMO,Alexis,Commo,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
